iter	Logloss
0	0.692590402
1	0.6920448344
2	0.691492748
3	0.6909423129
4	0.6903928613
5	0.689871373
6	0.6893250288
7	0.6887836775
8	0.6882517199
9	0.6877172609
10	0.6871830632
11	0.6866647593
12	0.6861369872
13	0.6856146045
14	0.6851013781
15	0.6845756951
16	0.6840675466
17	0.683550932
18	0.68303616
19	0.6825266619
20	0.6820200686
21	0.6815173544
22	0.6810212583
23	0.6805360673
24	0.6800493495
25	0.6795591649
26	0.6790643243
27	0.6785817319
28	0.6780962293
29	0.6776232342
30	0.6771489165
31	0.6766657383
32	0.676203578
33	0.675733125
34	0.6752564766
35	0.6748104033
36	0.6743485987
37	0.6739039464
38	0.6734663852
39	0.6730324308
40	0.6725818869
41	0.6721488966
42	0.6716977385
43	0.6712615868
44	0.6708397848
45	0.6704156198
46	0.6700046404
47	0.6695759499
48	0.6691415764
49	0.6687246687
50	0.6683020047
51	0.6678785597
52	0.6675155708
53	0.6671087104
54	0.666693684
55	0.6662988095
56	0.6658984934
57	0.6654987101
58	0.665086293
59	0.6646801287
60	0.6642713418
61	0.6638778911
62	0.6634879213
63	0.6631000186
64	0.6627115618
65	0.6623243551
66	0.6619438683
67	0.6615525746
68	0.661171498
69	0.6607878204
70	0.6604032223
71	0.6600418516
72	0.6596650098
73	0.659300514
74	0.6589384235
75	0.6585916097
76	0.6582199667
77	0.6578601086
78	0.6575086517
79	0.6571525311
80	0.6567895049
81	0.6564294672
82	0.6560752111
83	0.6557409052
84	0.6554115777
85	0.655060393
86	0.654705438
87	0.6543710458
88	0.6540339066
89	0.6536989188
90	0.6533765898
91	0.653050192
92	0.6527113448
93	0.6523828798
94	0.6520466645
95	0.6517186313
96	0.6513972664
97	0.6510694475
98	0.650748218
99	0.6504329452
100	0.6501143227
101	0.6498095691
102	0.6494878164
103	0.6491755978
104	0.648871139
105	0.6485603868
106	0.6482546118
107	0.6479469745
108	0.647639014
109	0.6473488123
110	0.64704495
111	0.6467503282
112	0.6464586388
113	0.6461596842
114	0.6458705929
115	0.6455864924
116	0.645302371
117	0.6450119743
118	0.6447243833
119	0.6444293059
120	0.6441415865
121	0.6438670373
122	0.643583956
123	0.6433156098
124	0.6430484346
125	0.6427770326
126	0.6425102057
127	0.6422260982
128	0.6419565393
129	0.6416887433
130	0.6414211097
131	0.6411493987
132	0.6408825846
133	0.6406091502
134	0.6403500289
135	0.6400859156
136	0.639822271
137	0.6395622175
138	0.6393198326
139	0.6390645463
140	0.6388060307
141	0.6385547286
142	0.6383050635
143	0.6380648347
144	0.6378201307
145	0.6375681352
146	0.6373210441
147	0.6370750479
148	0.6368360922
149	0.6365935183
150	0.6363570751
151	0.6361242361
152	0.6358835168
153	0.6356402895
154	0.6353960826
155	0.6351857989
156	0.6349589162
157	0.6347217928
158	0.6344934143
159	0.6342593798
160	0.634036301
161	0.6338057428
162	0.6335974261
163	0.6333738504
164	0.6331469706
165	0.6329165845
166	0.6327004959
167	0.6324875099
168	0.6322770675
169	0.6320543427
170	0.6318327267
171	0.6316155808
172	0.6314090188
173	0.6311988495
174	0.6309860027
175	0.6307773751
176	0.6305608716
177	0.6303621503
178	0.6301567296
179	0.6299398788
180	0.629727898
181	0.6295148643
182	0.6293117413
183	0.6291062059
184	0.6289051284
185	0.6287018001
186	0.6284997338
187	0.6282991891
188	0.6280940458
189	0.6278937342
190	0.6276952187
191	0.6274989216
192	0.6273092803
193	0.6271168936
194	0.6269367207
195	0.6267420736
196	0.6265453301
197	0.6263521401
198	0.6261730416
199	0.625984745
200	0.6258205827
201	0.6256432876
202	0.6254644562
203	0.6252877637
204	0.6250959202
205	0.6249137334
206	0.6247250104
207	0.6245429
208	0.6243631564
209	0.6241869891
210	0.6240142386
211	0.623838545
212	0.6236853766
213	0.6235213876
214	0.6233489824
215	0.6231779279
216	0.6230067942
217	0.6228389182
218	0.622666564
219	0.6224981284
220	0.6223366905
221	0.6221820087
222	0.6220167299
223	0.6218566756
224	0.621694354
225	0.6215312381
226	0.621376926
227	0.6212210544
228	0.6210489238
229	0.6208930199
230	0.6207306957
231	0.6205714536
232	0.6204197313
233	0.6202808469
234	0.6201217201
235	0.6199693786
236	0.6198217697
237	0.619671165
238	0.619516781
239	0.6193660283
240	0.6192133266
241	0.6190689773
242	0.6189194785
243	0.6187741343
244	0.6186281742
245	0.6184848339
246	0.6183421792
247	0.6181956594
248	0.6180517005
249	0.6179092821
250	0.6177670953
251	0.6176339908
252	0.617495872
253	0.6173537756
254	0.6172157422
255	0.6170759316
256	0.6169384896
257	0.6168074095
258	0.6166703842
259	0.6165282707
260	0.616390045
261	0.616252768
262	0.6161171299
263	0.6159804993
264	0.6158550373
265	0.615724595
266	0.6155917079
267	0.61545759
268	0.6153247136
269	0.6151898657
270	0.6150644286
271	0.6149306848
272	0.6148023939
273	0.6146719957
274	0.6145424672
275	0.6144149379
276	0.6142939668
277	0.6141652193
278	0.6140396085
279	0.6139167085
280	0.6137957048
281	0.6136705253
282	0.6135546884
283	0.6134392559
284	0.6133261398
285	0.613204057
286	0.613087047
287	0.6129650676
288	0.6128537486
289	0.61273739
290	0.6126198247
291	0.6125033236
292	0.612386052
293	0.6122705945
294	0.612156751
295	0.6120454647
296	0.6119325134
297	0.6118262144
298	0.6117140166
299	0.6116033531
300	0.6114918387
301	0.6113795873
302	0.6112698108
303	0.6111620949
304	0.6110603814
305	0.6109500869
306	0.6108489888
307	0.6107400944
308	0.6106340118
309	0.6105283272
310	0.6104226272
311	0.6103131127
312	0.610214415
313	0.6101114588
314	0.6100217884
315	0.6099216884
316	0.609821137
317	0.6097159669
318	0.609617783
319	0.6095154056
320	0.6094130424
321	0.6093186231
322	0.609223744
323	0.6091283262
324	0.609031406
325	0.6089361725
326	0.6088364091
327	0.6087377266
328	0.6086403033
329	0.6085389143
330	0.6084403569
331	0.608344176
332	0.6082509217
333	0.6081514979
334	0.608060433
335	0.6079738662
336	0.6078822439
337	0.6077911921
338	0.6077018082
339	0.6076093609
340	0.607521495
341	0.6074296732
342	0.6073385322
343	0.6072514983
344	0.6071638026
345	0.6070703955
346	0.6069787404
347	0.6068916541
348	0.6068070303
349	0.6067191788
350	0.6066391273
351	0.6065533933
352	0.6064644485
353	0.6063782915
354	0.6062961545
355	0.6062072955
356	0.6061220394
357	0.6060469838
358	0.6059641147
359	0.6058789488
360	0.6057915005
361	0.6057108981
362	0.6056292628
363	0.6055434054
364	0.6054679707
365	0.6053887256
366	0.6053134914
367	0.6052282497
368	0.6051452032
369	0.6050677732
370	0.604991052
371	0.6049086327
372	0.6048362429
373	0.6047591352
374	0.6046838858
375	0.6046082665
376	0.6045367946
377	0.6044646736
378	0.6043863
379	0.6043097222
380	0.6042428118
381	0.6041717078
382	0.6040978571
383	0.6040255824
384	0.6039528015
385	0.6038806166
386	0.6038089762
387	0.6037342415
388	0.6036568646
389	0.6035795339
390	0.6035018876
391	0.6034312363
392	0.6033687807
393	0.6032999019
394	0.6032276058
395	0.6031581865
396	0.6030864717
397	0.603016543
398	0.6029483174
399	0.6028779573
400	0.6028101235
401	0.6027526032
402	0.6026838242
403	0.602626322
404	0.602560176
405	0.6024963447
406	0.6024293301
407	0.6023676317
408	0.6022967745
409	0.6022302743
410	0.6021612311
411	0.6020926561
412	0.6020276875
413	0.6019632583
414	0.6019005754
415	0.6018356373
416	0.6017721458
417	0.6017048551
418	0.6016507101
419	0.6015876169
420	0.6015316197
421	0.6014732665
422	0.6014133938
423	0.6013497113
424	0.6012825411
425	0.6012225986
426	0.6011635181
427	0.6010980289
428	0.6010362287
429	0.6009780445
430	0.6009200881
431	0.6008613509
432	0.6008051608
433	0.6007520943
434	0.6006946778
435	0.6006388528
436	0.6005884272
437	0.6005293598
438	0.6004687653
439	0.6004114165
440	0.6003522599
441	0.6002941538
442	0.6002350978
443	0.6001788132
444	0.6001212816
445	0.6000612945
446	0.6000097662
447	0.5999562498
448	0.5999028897
449	0.5998558318
450	0.599801733
451	0.5997547296
452	0.5997022064
453	0.5996448832
454	0.5995871699
455	0.5995329548
456	0.5994759376
457	0.599418569
458	0.5993711515
459	0.5993184195
460	0.5992833154
461	0.5992339986
462	0.5991840254
463	0.5991349401
464	0.5990833344
465	0.5990431481
466	0.5989912772
467	0.5989427291
468	0.5988960797
469	0.5988443876
470	0.5987934559
471	0.5987472032
472	0.5986966399
473	0.5986466276
474	0.598605695
475	0.5985584617
476	0.5985118299
477	0.5984624575
478	0.5984090668
479	0.5983659896
480	0.5983214441
481	0.598274576
482	0.5982256105
483	0.5981811662
484	0.5981392387
485	0.598089963
486	0.5980403295
487	0.5979992962
488	0.5979780603
489	0.5979308615
490	0.5978855379
491	0.5978364861
492	0.5977880574
493	0.5977391415
494	0.5976999649
495	0.5976537171
496	0.5976131724
497	0.5975693969
498	0.5975236977
499	0.5974796271
500	0.597438342
501	0.5973955928
502	0.5973508826
503	0.5973056215
504	0.597263509
505	0.5972187923
506	0.5971748056
507	0.5971388067
508	0.5970927397
509	0.5970460049
510	0.5970025991
511	0.5969621943
512	0.5969194193
513	0.5968809344
514	0.5968351138
515	0.5967956416
516	0.5967590573
517	0.5967296575
518	0.596686304
519	0.5966455569
520	0.5966063914
521	0.5965716069
522	0.596530518
523	0.5964891532
524	0.5964489663
525	0.5964081826
526	0.5963643186
527	0.5963257891
528	0.5962850802
529	0.5962467648
530	0.5962089745
531	0.596170524
532	0.596131894
533	0.5960935234
534	0.596060244
535	0.596023006
536	0.5959892119
537	0.5959489731
538	0.5959085055
539	0.5958717117
540	0.5958360254
541	0.5958052305
542	0.5957698091
543	0.5957389323
544	0.5956997567
545	0.5956630588
546	0.595626518
547	0.5955884618
548	0.5955548186
549	0.5955168301
550	0.5954838915
551	0.5954500195
552	0.5954151161
553	0.5953783359
554	0.5953400876
555	0.5953012361
556	0.5952655199
557	0.5952297231
558	0.59520089
559	0.5951645927
560	0.595134536
561	0.5950982458
562	0.5950661749
563	0.5950356191
564	0.5950006623
565	0.5949659075
566	0.5949336672
567	0.5949016393
568	0.594870134
569	0.5948370552
570	0.5948031563
571	0.5947687184
572	0.5947372519
573	0.5947029565
574	0.5946728181
575	0.5946421329
576	0.5946066805
577	0.5945813636
578	0.5945498452
579	0.5945151703
580	0.5944811575
581	0.5944505961
582	0.5944164612
583	0.594385089
584	0.5943526006
585	0.5943286177
586	0.5942987673
587	0.5942669236
588	0.5942371172
589	0.5942059438
590	0.5941806506
591	0.5941512091
592	0.5941236787
593	0.5940900539
594	0.5940572918
595	0.594026594
596	0.5939998176
597	0.5939684886
598	0.5939410141
599	0.5939130794
600	0.5938805265
601	0.5938510948
602	0.5938205815
603	0.5937916473
604	0.5937639114
605	0.5937348078
606	0.5937062305
607	0.5936780148
608	0.5936485389
609	0.5936197046
610	0.5935897607
611	0.5935603838
612	0.5935299036
613	0.5934992962
614	0.5934714422
615	0.5934410561
616	0.5934130492
617	0.5933858955
618	0.5933595448
619	0.5933320434
620	0.5933050421
621	0.5932885763
622	0.5932595213
623	0.5932297721
624	0.5932050215
625	0.5931767619
626	0.5931486609
627	0.5931331328
628	0.5931057749
629	0.593078656
630	0.5930531712
631	0.5930260498
632	0.5929985461
633	0.5929699565
634	0.5929428105
635	0.5929139715
636	0.5928869971
637	0.5928597809
638	0.5928348722
639	0.5928092577
640	0.5927828716
641	0.5927552392
642	0.5927257335
643	0.5927009146
644	0.5926774786
645	0.5926526771
646	0.5926290887
647	0.5926012012
648	0.592574045
649	0.592549181
650	0.5925241217
651	0.5924984649
652	0.592474137
653	0.5924481448
654	0.5924264051
655	0.5923989992
656	0.5923710113
657	0.592348198
658	0.5923293006
659	0.5923037127
660	0.5922792127
661	0.5922657992
662	0.5922427151
663	0.5922230462
664	0.5921976651
665	0.5921756915
666	0.5921518315
667	0.5921268354
668	0.5921036537
669	0.5920797999
670	0.5920526819
671	0.5920325907
672	0.5920086542
673	0.5919840518
674	0.5919607586
675	0.5919365456
676	0.5919113702
677	0.5918897323
678	0.5918688152
679	0.5918457612
680	0.5918229744
681	0.5918008286
682	0.591777449
683	0.5917563231
684	0.5917334625
685	0.5917109273
686	0.5916893488
687	0.5916669784
688	0.5916473866
689	0.5916264319
690	0.5916043041
691	0.5915843255
692	0.5915616699
693	0.5915383534
694	0.5915191157
695	0.5914984569
696	0.5914774857
697	0.5914552423
698	0.5914340173
699	0.5914173447
700	0.5913984157
701	0.5913786629
702	0.5913610254
703	0.5913403701
704	0.5913205193
705	0.5912965978
706	0.5912746083
707	0.5912536575
708	0.5912305788
709	0.5912092351
710	0.5911881446
711	0.5911660773
712	0.591146508
713	0.5911267852
714	0.5911084231
715	0.5910883146
716	0.5910723709
717	0.5910533014
718	0.5910349499
719	0.5910152527
720	0.5909958508
721	0.5909803683
722	0.5909599248
723	0.5909407784
724	0.5909179432
725	0.5908973303
726	0.5908760918
727	0.5908562553
728	0.5908383711
729	0.5908201208
730	0.590801414
731	0.5907829289
732	0.5907638343
733	0.5907441983
734	0.5907233703
735	0.5907046714
736	0.5906867186
737	0.5906660185
738	0.590647444
739	0.5906289723
740	0.5906108869
741	0.5905933172
742	0.5905746967
743	0.5905569996
744	0.5905384389
745	0.59052263
746	0.5905056696
747	0.5904867757
748	0.5904729931
749	0.5904522627
750	0.5904337076
751	0.5904153685
752	0.5904025725
753	0.5903828841
754	0.5903642379
755	0.5903450404
756	0.590328259
757	0.5903102494
758	0.5902925548
759	0.5902763074
760	0.5902574525
761	0.5902376235
762	0.5902200779
763	0.5902005167
764	0.5901850177
765	0.5901662656
766	0.5901482081
767	0.5901319548
768	0.5901120357
769	0.5900953592
770	0.5900788555
771	0.5900600042
772	0.5900456868
773	0.5900294041
774	0.5900118283
775	0.589994898
776	0.589980365
777	0.5899624722
778	0.5899456188
779	0.5899278514
780	0.5899091806
781	0.5898916294
782	0.5898767033
783	0.5898602396
784	0.5898430276
785	0.5898223675
786	0.5898053555
787	0.5897910928
788	0.5897763045
789	0.58975911
790	0.5897459122
791	0.5897307346
792	0.5897207043
793	0.5897008103
794	0.5896796303
795	0.5896634829
796	0.5896500246
797	0.5896377479
798	0.5896252589
799	0.5896146367
800	0.5895990059
801	0.5895818224
802	0.5895659744
803	0.5895534185
804	0.5895344969
805	0.5895202268
806	0.5895022232
807	0.5894894648
808	0.5894736488
809	0.5894586371
810	0.5894404886
811	0.5894244144
812	0.5894148518
813	0.5893960228
814	0.5893805831
815	0.5893636342
816	0.5893474443
817	0.5893337926
818	0.5893161145
819	0.5893012812
820	0.5892899891
821	0.5892813095
822	0.5892672822
823	0.5892501877
824	0.5892371192
825	0.5892240755
826	0.5892102243
827	0.5891970266
828	0.589182757
829	0.589166676
830	0.5891486697
831	0.5891328356
832	0.5891153849
833	0.5891019972
834	0.5890885607
835	0.5890718441
836	0.5890573158
837	0.5890448241
838	0.5890257051
839	0.5890065644
840	0.5889911333
841	0.5889763204
842	0.5889578476
843	0.5889488536
844	0.5889358031
845	0.5889189613
846	0.5889030447
847	0.5888858407
848	0.5888682863
849	0.5888537056
850	0.5888388502
851	0.5888236368
852	0.5888106491
853	0.5887953729
854	0.5887796241
855	0.5887592793
856	0.5887494303
857	0.5887319698
858	0.5887178005
859	0.5887021352
860	0.5886908419
861	0.5886765239
862	0.5886640951
863	0.5886506215
864	0.5886344882
865	0.5886197533
866	0.5886064835
867	0.5885901911
868	0.5885777091
869	0.5885633143
870	0.5885473755
871	0.5885337799
872	0.5885208273
873	0.5885086845
874	0.5884960684
875	0.5884835069
876	0.5884710011
877	0.5884580331
878	0.5884441625
879	0.5884285561
880	0.5884160315
881	0.5884017203
882	0.588388029
883	0.5883719771
884	0.5883598435
885	0.5883436079
886	0.5883313879
887	0.5883177667
888	0.5883023872
889	0.5882889991
890	0.5882726592
891	0.5882581527
892	0.5882419355
893	0.5882289488
894	0.5882186563
895	0.5882127118
896	0.5881994525
897	0.5881833823
898	0.5881716845
899	0.5881605027
900	0.58815682
901	0.5881439298
902	0.5881319178
903	0.5881179183
904	0.5881043898
905	0.5880919545
906	0.5880773692
907	0.5880660878
908	0.5880537933
909	0.588040754
910	0.5880267685
911	0.5880155883
912	0.5880037423
913	0.5879904373
914	0.5879786017
915	0.5879637307
916	0.5879526991
917	0.5879384062
918	0.5879246906
919	0.5879212504
920	0.587907205
921	0.5878967707
922	0.5878792304
923	0.5878663506
924	0.5878540105
925	0.5878446613
926	0.5878334355
927	0.5878186481
928	0.5878063715
929	0.5877958514
930	0.5877843072
931	0.5877712042
932	0.5877608479
933	0.5877484472
934	0.5877397036
935	0.5877246272
936	0.5877119221
937	0.5876995928
938	0.587685153
939	0.5876746677
940	0.5876593359
941	0.5876461575
942	0.5876337855
943	0.5876259577
944	0.5876160848
945	0.5876057301
946	0.5875922657
947	0.5875821122
948	0.5875703454
949	0.5875557858
950	0.5875426138
951	0.5875288752
952	0.5875174947
953	0.5875077993
954	0.5874975353
955	0.5874862885
