iter	Passed	Remaining
0	234	469700
1	464	464388
2	668	445238
3	837	417832
4	1012	403800
5	1183	393188
6	1373	391094
7	1561	388833
8	1731	383074
9	1902	378631
10	2082	376613
11	2253	373262
12	2419	369748
13	2589	367345
14	2781	368084
15	3026	375283
16	3251	379244
17	3468	381911
18	3688	384577
19	3870	383146
20	4044	381111
21	4218	379266
22	4390	377352
23	4570	376270
24	4764	376393
25	4945	375489
26	5105	373091
27	5275	371566
28	5483	372719
29	5655	371387
30	5834	370562
31	6001	369062
32	6166	367549
33	6331	366108
34	6486	364183
35	6638	362157
36	6794	360474
37	6953	358994
38	7114	357734
39	7273	356382
40	7462	356579
41	7659	357071
42	7862	357818
43	8035	357208
44	8216	356976
45	8418	357597
46	8602	357481
47	8784	357236
48	8946	356233
49	9121	355749
50	9297	355315
51	9461	354454
52	9574	351733
53	9727	350548
54	9934	351315
55	10170	353064
56	10397	354431
57	10597	354826
58	10755	353832
59	10919	353065
60	11086	352416
61	11265	352144
62	11457	352261
63	11658	352661
64	11850	352790
65	12006	351824
66	12181	351434
67	12374	351574
68	12576	351948
69	12753	351623
70	12900	350490
71	13051	349480
72	13222	349027
73	13374	348105
74	13527	347217
75	13680	346325
76	13859	346116
77	14014	345333
78	14166	344467
79	14326	343845
80	14484	343160
81	14635	342334
82	14793	341686
83	14962	341278
84	15157	341498
85	15366	341995
86	15555	342050
87	15720	341554
88	15890	341207
89	16076	341184
90	16243	340766
91	16405	340242
92	16563	339632
93	16718	338985
94	16879	338478
95	17035	337861
96	17206	337562
97	17363	337003
98	17751	340857
99	17939	340847
100	18117	340638
101	18299	340515
102	18615	342841
103	18776	342304
104	18960	342183
105	19171	342559
106	19369	342670
107	19615	343633
108	19784	343232
109	19957	342903
110	20145	342829
111	20329	342693
112	20480	342004
113	20628	341277
114	20774	340529
115	20928	339902
116	21092	339469
117	21242	338798
118	21393	338162
119	21545	337547
120	21702	337012
121	21858	336479
122	22010	335885
123	22170	335412
124	22320	334814
125	22490	334499
126	22690	334639
127	22929	335343
128	23119	335315
129	23307	335265
130	23518	335543
131	23724	335740
